               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.023554,            0.012565,                   0,             0.99702,                   1,               0.995,             0.76413,            0.012345,            0.004409,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,             0.02215,            0.013021,                   0,             0.99713,                   1,               0.995,             0.78661,            0.011402,           0.0042633,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.022561,           0.0085932,                   0,             0.97847,                   1,               0.995,              0.7248,            0.016232,           0.0046691,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.020463,           0.0085172,                   0,             0.99684,                   1,               0.995,             0.82585,            0.011038,           0.0039647,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.020141,            0.009931,                   0,             0.99691,                   1,               0.995,             0.72975,            0.013923,           0.0042204,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.022494,            0.010948,                   0,             0.99701,                   1,               0.995,             0.82998,            0.011325,           0.0042077,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.022733,           0.0095562,                   0,             0.99702,                   1,               0.995,             0.77696,            0.012836,           0.0043101,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.021597,           0.0089639,                   0,             0.95041,             0.95862,             0.99262,              0.7952,            0.014026,            0.004244,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.024766,            0.010676,                   0,             0.99704,                   1,               0.995,             0.80586,            0.011842,           0.0038908,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,             0.02178,            0.011744,                   0,             0.99696,                   1,               0.995,             0.84602,            0.011048,           0.0039491,                   0,            0.007327,            0.007327,            0.007327
                 137,             0.02096,             0.01198,                   0,             0.99674,                   1,               0.995,             0.79142,            0.013024,           0.0042244,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023497,            0.010985,                   0,              0.9966,                   1,               0.995,             0.81188,            0.011828,           0.0040833,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.021282,            0.011757,                   0,             0.99633,                   1,               0.995,             0.79018,            0.012216,           0.0042909,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.022428,            0.011117,                   0,             0.99663,                   1,               0.995,             0.78135,            0.012497,           0.0043408,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.021257,            0.010598,                   0,              0.9967,                   1,               0.995,             0.77728,            0.012877,           0.0043607,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.022212,            0.010003,                   0,             0.99689,                   1,               0.995,              0.7841,            0.012184,           0.0043113,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.021262,            0.011667,                   0,             0.99678,                   1,               0.995,             0.81484,            0.010843,            0.004235,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,             0.02142,           0.0089229,                   0,             0.99663,                   1,               0.995,             0.81557,            0.011124,           0.0041878,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.018774,            0.010723,                   0,             0.99691,                   1,               0.995,              0.7917,            0.011021,           0.0042176,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.020972,            0.012307,                   0,             0.99712,                   1,               0.995,             0.81858,            0.010671,           0.0040706,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.021912,            0.011597,                   0,             0.99708,                   1,               0.995,             0.80714,            0.013668,           0.0045018,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.022142,            0.010386,                   0,             0.99711,                   1,               0.995,             0.85686,            0.010271,           0.0040221,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.020743,            0.013628,                   0,             0.99714,                   1,               0.995,             0.82074,            0.012251,           0.0043998,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.023661,             0.01307,                   0,             0.99718,                   1,               0.995,             0.83692,           0.0099282,           0.0041873,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.020511,            0.012074,                   0,             0.99708,                   1,               0.995,             0.78095,            0.012861,           0.0045543,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.018312,            0.011891,                   0,             0.99709,                   1,               0.995,             0.83401,             0.01025,           0.0040211,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022361,            0.010392,                   0,             0.99691,                   1,               0.995,             0.79597,            0.012924,            0.004505,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.020792,            0.010527,                   0,             0.99709,                   1,               0.995,             0.82154,            0.010321,           0.0041954,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.025063,           0.0097502,                   0,             0.99702,                   1,               0.995,             0.81361,            0.013159,           0.0046278,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,             0.02078,            0.011156,                   0,             0.99709,                   1,               0.995,             0.83032,            0.012168,           0.0042953,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.020857,            0.010549,                   0,             0.99704,                   1,               0.995,             0.79943,             0.01249,           0.0043843,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.021345,            0.010309,                   0,             0.99698,                   1,               0.995,             0.83829,            0.012017,           0.0041473,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.018865,           0.0090556,                   0,             0.99697,                   1,               0.995,             0.83413,            0.011477,           0.0041543,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.020728,            0.011169,                   0,             0.99706,                   1,               0.995,             0.84744,            0.011256,           0.0042045,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.021166,            0.010219,                   0,             0.99698,                   1,               0.995,              0.7893,            0.012328,           0.0044211,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.021512,            0.010523,                   0,             0.99711,                   1,               0.995,             0.82799,            0.010717,           0.0041464,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.021904,           0.0088668,                   0,             0.99706,                   1,               0.995,             0.80292,            0.011938,           0.0043304,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.019514,            0.010507,                   0,             0.99714,                   1,               0.995,             0.83763,            0.010811,           0.0041049,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.021279,            0.011587,                   0,             0.99706,                   1,               0.995,             0.78685,            0.011837,           0.0044396,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.023481,            0.012193,                   0,             0.99698,                   1,               0.995,             0.83702,           0.0093749,           0.0039961,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.019222,           0.0091353,                   0,              0.9969,                   1,               0.995,             0.80875,            0.014532,           0.0045704,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,            0.020879,           0.0090708,                   0,             0.99666,                   1,               0.995,             0.82297,            0.010233,           0.0041915,                   0,           0.0066934,           0.0066934,           0.0066934
